economy,Country,IT.NET.USER.ZS,NY.GDP.PCAP.PP.KD,SP.POP.TOTL
FIN,Finland,86.53039275,44976.7764487708,5461512.0
FJI,Fiji,37.4,12058.0061864871,866447.0
FRO,Faroe Islands,93.3,,47965.0
ETH,Ethiopia,7.7,1656.63448899243,98094264.0
SWZ,Eswatini,25.0,8193.67285336229,1095022.0
EST,Estonia,84.24152803,30494.0963031973,1314545.0
ERI,Eritrea,0.99,,
GNQ,Equatorial Guinea,18.86,32436.5535005511,1122273.0
SLV,El Salvador,24.76171215,7990.44167842694,6295124.0
EGY,"Egypt, Arab Rep.",33.89460391,10353.6668042394,90424668.0
ECU,Ecuador,45.59039067,12078.4743866036,15951832.0
DOM,Dominican Republic,49.58,14499.6304101602,10165182.0
DMA,Dominica,57.5,12213.5583671093,71091.0
DJI,Djibouti,17.0,4241.88117846309,898707.0
DNK,Denmark,95.99,52048.3354927846,5643475.0
CZE,Czech Republic,74.23171164,34386.7049143977,10525347.0
CYP,Cyprus,69.33,33136.48046875,1152297.0
CUW,Curacao,,25869.7819000386,155909.0
CUB,Cuba,29.07018437,,11306909.0
HRV,Croatia,68.57,24072.4388046611,4238389.0
CIV,Cote d'Ivoire,10.0,4225.9557640316,22647672.0
CRI,Costa Rica,53.0,18669.096679367,4795390.0
COG,"Congo, Rep.",7.11,5552.84460629917,4736965.0
COD,"Congo, Dem. Rep.",3.0,1029.79081257806,73767445.0
COM,Comoros,6.98,2995.45979337771,759390.0
COL,Colombia,52.57,13852.2420491719,46967706.0
CHN,China,47.9,11851.4042175796,1371860000.0
CHL,Chile,61.11,24099.2702881884,17758969.0
CHI,Channel Islands,,,164107.0
TCD,Chad,2.9,1866.26607861774,13663562.0
CAF,Central African Republic,2.7,822.611194894812,4464171.0
CYM,Cayman Islands,74.1,66326.8867734227,60848.0
CAN,Canada,87.12,47564.609109622,35437435.0
CMR,Cameroon,16.21487223,3470.78565817389,22681853.0
KHM,Cambodia,14.0,3364.27806867045,15274506.0
CPV,Cabo Verde,40.26,6281.79397089329,518276.0
BDI,Burundi,1.4,886.2352957813,9844301.0
BFA,Burkina Faso,6.0,1907.94921260654,17586029.0
BGR,Bulgaria,55.49,19202.8089285445,7223938.0
BRN,Brunei Darussalam,68.77,64190.8241471541,409778.0
VGB,British Virgin Islands,,,28985.0
BRA,Brazil,54.55100188,15749.5121636814,202763744.0
BWA,Botswana,36.74474744,16042.0524931341,2088619.0
BIH,Bosnia and Herzegovina,49.91773243,12066.5923389441,3482106.0
BOL,Bolivia,34.6,7730.63840212872,10706517.0
BTN,Bhutan,30.3,9574.0290039124,719053.0
BMU,Bermuda,96.8,77361.1048812589,65138.0
BEN,Benin,6.0,2975.85478222107,10286839.0
BLZ,Belize,38.7,7239.27826944955,353366.0
BEL,Belgium,85.0,48748.6205926039,11209057.0
BLR,Belarus,59.02,19119.3461515636,9448515.0
BRB,Barbados,75.16,15043.7299095614,284825.0
BGD,Bangladesh,11.9,4157.91930405716,154517385.0
BHR,Bahrain,90.50313348,48201.1571717366,1336073.0
BHS,"Bahamas, The",76.92,35847.8560481642,370625.0
AZE,Azerbaijan,75.00001564,14867.9437345406,9535079.0
AUT,Austria,80.99582496,52932.9001116518,8546356.0
AUS,Australia,84.0,47232.875386831,23475686.0
ABW,Aruba,83.78,35405.0341285835,103776.0
ARM,Armenia,54.62280586,11019.838784895,2912403.0
ARG,Argentina,64.7,23550.0990599374,42669500.0
ATG,Antigua and Barbuda,67.78,18104.6837879971,92562.0
AGO,Angola,21.4,8240.34798147729,26941773.0
AND,Andorra,86.1,,79213.0
ASM,American Samoa,,,55791.0
DZA,Algeria,29.5,11512.6904717467,38923688.0
ALB,Albania,54.3,11586.8338781686,2889104.0
AFG,Afghanistan,7.0,2102.38460375974,33370804.0
