pinned_tweet_id,id,description,name,protected,verified,created_at,location,profile_image_url,username,url,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.mentions,entities.description.urls,entities.description.hashtags,screenName,party
1543268996035887109,2281050907,"Communication & Advocacy Officer at @NRC_Geneva | Voluntary Prison Visitor | @BlavatnikSchool, @UniofOxford & @UniFR | Views my own.",Blaise Fasel,False,False,2014-01-07T19:10:47.000Z,"Genève, Genf, Geneva",https://pbs.twimg.com/profile_images/1286653118948814848/lydTvPEG_normal.jpg,blaisefasel,https://t.co/COPJL8F6Fh,1842.0,1680.0,2427.0,41.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/COPJL8F6Fh', 'expanded_url': 'https://www.nrc.no/countries/nrc-representation-offices/nrc-geneva/', 'display_url': 'nrc.no/countries/nrc-…'}]","[{'start': 36, 'end': 47, 'username': 'NRC_Geneva'}, {'start': 77, 'end': 93, 'username': 'BlavatnikSchool'}, {'start': 95, 'end': 107, 'username': 'UniofOxford'}, {'start': 110, 'end': 116, 'username': 'UniFR'}]",,,blaisefasel,CVP
491604373651595264,372868572,"Agrotechniker HF, Geschäftsführer Bauernverband Aargau, Grossrat Die Mitte",Ralf Bucher,False,False,2011-09-13T15:29:04.000Z,Mühlau,https://pbs.twimg.com/profile_images/1379528311689347076/XUnKVbXD_normal.jpg,bucherralf,http://t.co/dTdxSO9rj3,225.0,96.0,100.0,13.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/dTdxSO9rj3', 'expanded_url': 'http://www.ralf-bucher.ch', 'display_url': 'ralf-bucher.ch'}]",,,,bucherralf,CVP
,1360306513,Conseillère nationale @Mitte_Centre / Nationalrätin #DieMitte,Christine Bulliard,False,True,2013-04-17T20:24:18.000Z,,https://pbs.twimg.com/profile_images/605631662882439168/RoQXUVZi_normal.jpg,bulliardmarbach,http://t.co/xy5ABbowaM,2198.0,870.0,1278.0,123.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/xy5ABbowaM', 'expanded_url': 'http://www.christine-bulliard.ch', 'display_url': 'christine-bulliard.ch'}]","[{'start': 22, 'end': 35, 'username': 'Mitte_Centre'}]",,"[{'start': 52, 'end': 61, 'tag': 'DieMitte'}]",bulliardmarbach,CVP
,15045769,Engagement | Sport | Kommunikation |  Director @swissgymnastics,beatrice wertli,False,True,2008-06-08T10:06:42.000Z,Bern,https://pbs.twimg.com/profile_images/1363974880211869696/OenAMG-5_normal.jpg,bwertli,https://t.co/hVfpI11VhJ,3356.0,1653.0,5586.0,136.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/hVfpI11VhJ', 'expanded_url': 'http://www.beatricewertli.ch', 'display_url': 'beatricewertli.ch'}]","[{'start': 47, 'end': 63, 'username': 'swissgymnastics'}]",,,bwertli,CVP
,56680979,,Chantal Donzé,False,False,2009-07-14T12:32:12.000Z,,https://pbs.twimg.com/profile_images/1141735359233036289/ZR6R7snM_normal.png,chantaldon,,57.0,92.0,120.0,9.0,,,,,chantaldon,CVP
,327254073,Nationalrat 'Die Mitte',Christian Lohr,False,True,2011-07-01T07:41:55.000Z,"Kreuzlingen, Schweiz",https://pbs.twimg.com/profile_images/1153224063525019648/JED3HZzu_normal.jpg,ch_lohr,https://t.co/dMTEuwOXt6,2482.0,200.0,268.0,110.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/dMTEuwOXt6', 'expanded_url': 'http://www.lohr.ch/', 'display_url': 'lohr.ch'}]",,,,ch_lohr,CVP
,220694516,"Husband, father, son, lawyer, interested in politics, history, art and words",Michael Daphinoff,False,False,2010-11-28T15:30:32.000Z,,https://pbs.twimg.com/profile_images/2738176076/3cc9c8bf2ecc85e7ee4968839d37f006_normal.jpeg,daphinoff,,898.0,888.0,5584.0,64.0,,,,,daphinoff,CVP
745626743315259392,627501106,Conseiller national / Nationalrat @PDCFribourg @CVP_PDC,Dominique de Buman,False,False,2012-07-05T15:56:00.000Z,Fribourg,https://pbs.twimg.com/profile_images/478511608281317377/rbUgEK_B_normal.jpeg,ddebuman,http://t.co/u9VHA7jwJh,3066.0,1133.0,137.0,145.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/u9VHA7jwJh', 'expanded_url': 'http://www.debuman.ch', 'display_url': 'debuman.ch'}]","[{'start': 34, 'end': 46, 'username': 'PDCFribourg'}, {'start': 47, 'end': 55, 'username': 'CVP_PDC'}]",,,ddebuman,CVP
,2373285084,"Syndic de Gruyères (FR), député #PDC #CVP au Grand Conseil Fribourgeois et chef d'entreprise à Ebenisterie Doutaz SA",Doutaz Jean-Pierre,False,False,2014-03-05T06:41:08.000Z,Gruyères (FR),https://pbs.twimg.com/profile_images/655837068703174656/4n_9w-sY_normal.jpg,doutazjp,http://t.co/jTRY99Hmb5,203.0,510.0,99.0,16.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/jTRY99Hmb5', 'expanded_url': 'http://www.doutaz.ch', 'display_url': 'doutaz.ch'}]",,,"[{'start': 32, 'end': 36, 'tag': 'PDC'}, {'start': 37, 'end': 41, 'tag': 'CVP'}]",doutazjp,CVP
880742571059937280,2462559213,"Rechtsanwalt MLaw @Unifr | Präsident Die Mitte Seebezirk | Alemann, aCP | Hauptmann",Dominic Tschümperlin,False,False,2014-04-05T14:23:12.000Z,Freiburg - Fribourg,https://pbs.twimg.com/profile_images/846743787409952769/1TaputIG_normal.jpg,dtschuempi,https://t.co/9onS203S95,1025.0,916.0,4985.0,38.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/9onS203S95', 'expanded_url': 'http://die-mitte-see.ch', 'display_url': 'die-mitte-see.ch'}]","[{'start': 18, 'end': 24, 'username': 'Unifr'}]",,,dtschuempi,CVP
