handle,author_id,name,party,N_tweets,followers_count,following_count,tweet_count,created_at,congress,NG_score_mean,belief_share,truth_share,belief_share_2010_to_2013,truth_share_2010_to_2013,belief_share_2019_to_2022,truth_share_2019_to_2022,ideology_mean,followers_count_log,following_count_log
joekennedy,1055907624,Joe Kennedy III,Democrat,3253,775849.0,739.0,7065.0,2013-01-02 19:33:36+00:00,116.0,95.13888888888889,0.0815930063137445,0.163186012627489,,,0.0792602377807133,0.1644649933949802,0.2961006444943618,13.56171319260186,6.6052979209482015
TXRandy14,1058051748,Randy Weber,Republican,3253,22631.0,723.0,3933.0,2013-01-03 15:30:06+00:00,117.0,86.98529411764706,0.0724935732647815,0.1465295629820051,0.0357142857142857,0.1071428571428571,0.110091743119266,0.2096985583224115,0.8683282183295677,10.027075926780746,6.583409222158765
RepTomRice,1058345042,Congressman Tom Rice,Republican,2703,25460.0,502.0,2838.0,2013-01-03 17:35:05+00:00,117.0,89.92087542087542,0.0605326876513317,0.1326876513317191,0.044776119402985,0.1194029850746268,0.0710382513661202,0.1584699453551912,0.6928237262388117,10.144863872111397,6.218600119691729
RepHolding,1058460818,Former Rep. George Holding,Republican,1011,17402.0,564.0,1019.0,2013-01-03 18:27:36+00:00,116.0,93.94396551724138,0.0323014804845222,0.1022880215343203,0.0229357798165137,0.0779816513761468,0.0492957746478873,0.1338028169014084,0.696758303711109,9.76434042112597,6.335054251498059
SenDuckworth,1058520120,Tammy Duckworth,Democrat,3498,772602.0,7414.0,10575.0,2013-01-03 18:59:33+00:00,117.0,95.57530120481928,0.1113989637305699,0.1845854922279792,,,0.1113989637305699,0.1845854922279792,0.3184215352426777,13.557519317872629,8.911125383710678
RepAnnieKuster,1058717720,Ann McLane Kuster,Democrat,3465,24598.0,2226.0,7581.0,2013-01-03 20:29:22+00:00,117.0,96.96938775510203,0.0483925549915397,0.1949238578680203,,,0.0481360839667028,0.1965255157437568,0.3721189708296444,10.110420417802356,7.70796153183549
RepDerekKilmer,1058917562,Rep. Derek Kilmer,Democrat,3592,30930.0,433.0,7233.0,2013-01-03 22:15:02+00:00,117.0,96.67230273752013,0.0603889457523029,0.1545547594677584,,,0.0603889457523029,0.1545547594677584,0.4007932845948475,10.339481865679115,6.07073772800249
RepMullin,1060370282,Markwayne Mullin,Republican,3426,36498.0,803.0,5383.0,2013-01-04 12:43:55+00:00,117.0,85.9407894736842,0.0628233555062823,0.1707317073170731,,,0.0628356605800214,0.1901181525241675,0.752424772809816,10.505012743548761,6.688354713946762
RepDougCollins,1060487274,Doug Collins,Republican,3336,534498.0,1023.0,6034.0,2013-01-04 13:43:55+00:00,116.0,83.41436464088397,0.089793055068397,0.2420203437390389,,,0.1059236947791164,0.270582329317269,0.7175842214336281,13.189083267625456,6.930494765951626
SenatorHeitkamp,1061029050,Archive: Sen. Heidi Heitkamp,Democrat,3197,100383.0,811.0,12377.0,2013-01-04 17:57:48+00:00,115.0,92.6168614357262,0.0967302452316076,0.148841961852861,,,,,0.5303150787349761,11.516748149193894,6.698268054115413
RepDeanPhillips,1061310112013435008,Rep. Dean Phillips 🇺🇸,Democrat,3015,57942.0,1931.0,3244.0,2018-11-10 17:30:23+00:00,117.0,96.61061946902656,0.1040198922503108,0.1873186904268545,,,0.1040198922503108,0.1873186904268545,0.5336263634152614,10.967197789194973,7.565793282428515
ChuckGrassley,10615232,ChuckGrassley,Republican,3477,729523.0,12754.0,11255.0,2007-11-26 15:17:02+00:00,117.0,,0.0526842280760253,0.124374791597199,,,0.0519042804179305,0.1243680485338726,0.7510700458449935,13.500146174892107,9.453600226875217
TulsiPress,1064206014,Former Rep. Tulsi Gabbard,Democrat,3155,281866.0,1135.0,4663.0,2013-01-05 22:57:50+00:00,116.0,90.86178861788618,0.033384497313891,0.1208749040675364,,,0.060377358490566,0.1584905660377358,0.3779314459161085,12.549187059682774,7.034387929915503
RepJoeMorelle,1064595993222615040,Joe Morelle,Democrat,3505,11896.0,868.0,4279.0,2018-11-19 19:07:18+00:00,117.0,93.66471734892788,0.0693099273607748,0.174636803874092,,,0.0693099273607748,0.174636803874092,0.3078844582870981,9.383957488139991,6.7661917146603505
RepWalorski,1065995022,Jackie Walorski,Republican,3315,23384.0,679.0,6478.0,2013-01-06 15:41:40+00:00,117.0,86.40263157894736,0.0395738203957382,0.1419330289193303,,,0.0546272493573264,0.1773778920308483,0.773612092397249,10.059807306791082,6.520621127558696
