party,mean,perc_2.5,perc_97.5,date
Fake,0.0,0.0,0.0,2017-01-01
Independent,0.1333541001016284,0.054054054054054,0.21875,2017-01-01
Republican,0.1069347971568769,0.0977611940298507,0.115858073859522,2017-01-01
Democrat,0.1153934907501424,0.104673619157976,0.1284606866002214,2017-02-01
Fake,0.1359905729472049,0.0256410256410256,0.2352941176470588,2017-02-01
Independent,0.0311686560370564,0.0,0.0816326530612244,2017-02-01
Republican,0.0986412929420743,0.0904951622083096,0.1093310848791455,2017-02-01
Democrat,0.1129005460419074,0.1030320044918585,0.1233766233766233,2017-03-01
Fake,0.2384445947572851,0.09375,0.3703703703703703,2017-03-01
Independent,0.0766565501835662,0.0133333333333333,0.1379310344827586,2017-03-01
Republican,0.0841386759841791,0.0777048486131695,0.0919639020197679,2017-03-01
Democrat,0.1128516258051005,0.0994590095713691,0.1231683168316831,2017-04-01
Fake,0.0,0.0,0.0,2017-04-01
Independent,0.0763665360573799,0.0,0.1842105263157894,2017-04-01
Republican,0.0945659885031432,0.0839638760068342,0.1015469061876247,2017-04-01
Democrat,0.122789626202159,0.1124557260920897,0.1342523224453101,2017-05-01
Fake,0.1823130946570774,0.0344827586206896,0.3478260869565217,2017-05-01
Independent,0.0483200743268127,0.0,0.1166666666666666,2017-05-01
Republican,0.0732959479698678,0.0678529062870699,0.0812678741658722,2017-05-01
Democrat,0.0951736991931348,0.0867579908675799,0.1037320011754334,2017-06-01
Fake,0.082679956986576,0.0,0.1666666666666666,2017-06-01
Independent,0.0488781037110907,0.0,0.1219512195121951,2017-06-01
Republican,0.084875581938097,0.0759151414309484,0.0928137439765346,2017-06-01
Democrat,0.1021910842942672,0.0932033266418124,0.1108893956670467,2017-07-01
Fake,0.0728778508991448,0.0153846153846153,0.1666666666666666,2017-07-01
Independent,0.0502394612918785,0.0,0.1428571428571428,2017-07-01
Republican,0.0902231946813812,0.080671485194684,0.0991869918699187,2017-07-01
Democrat,0.097463451818246,0.0872964169381107,0.1071663379355687,2017-08-01
Fake,0.0788868173863072,0.0327868852459016,0.1374045801526717,2017-08-01
Independent,0.1363701735860492,0.0545454545454545,0.2264150943396226,2017-08-01
Republican,0.082964205341581,0.0751295336787564,0.0890165111270639,2017-08-01
Democrat,0.0818851880974386,0.0737155621742367,0.0904809122459097,2017-09-01
Fake,0.0746293728915213,0.0259740259740259,0.1408450704225352,2017-09-01
