party,mean,perc_2.5,perc_97.5,date
Democrat,0.050604135154823725,0.0383986928104575,0.060064935064935,2012-04-01
Republican,0.04768148282804075,0.0381895332390381,0.0604956268221574,2012-04-01
Democrat,0.0393250296170575,0.0294464075382803,0.049427365883062,2012-05-01
Republican,0.03579007140828944,0.0260663507109004,0.0452342487883683,2012-05-01
Democrat,0.048188538565002284,0.0374720357941834,0.0609357997823721,2012-06-01
Republican,0.044625736334219956,0.0348749052312357,0.0533910533910533,2012-06-01
Democrat,0.036092777202600984,0.0266884531590413,0.0452941176470588,2012-07-01
Republican,0.04264157534587662,0.0280112044817927,0.0549542048293089,2012-07-01
Democrat,0.04764452359272885,0.037597911227154,0.0580474934036939,2012-08-01
Republican,0.03831698189664875,0.0278770550393137,0.0498848810437452,2012-08-01
Democrat,0.04855110431334795,0.0389543823680164,0.056782334384858,2012-09-01
Republican,0.040897687163968965,0.0323886639676113,0.0539083557951482,2012-09-01
Democrat,0.04585616368210908,0.0394775897892549,0.0530542013191855,2012-10-01
Republican,0.047806372071206,0.0399191510864072,0.0569498069498069,2012-10-01
Democrat,0.05471873957956691,0.0423861852433281,0.06385986032339384,2012-11-01
Independent,0.0,0.0,0.0,2012-11-01
Republican,0.057532514899621696,0.046420141620771,0.0686853766617429,2012-11-01
Democrat,0.02814561301405371,0.0153417015341701,0.0404354587869362,2012-12-01
Republican,0.039720404917665354,0.0271428571428571,0.0537124802527646,2012-12-01
Democrat,0.030746861822863823,0.0195121951219512,0.0431654676258992,2013-01-01
Republican,0.06468887613716179,0.0496031746031746,0.0808897876643073,2013-01-01
Democrat,0.03764995354320532,0.0271398747390396,0.0498504486540378,2013-02-01
Independent,0.0,0.0,0.0,2013-02-01
Republican,0.06004662902596877,0.0462670872765509,0.0766932270916334,2013-02-01
Democrat,0.03719976243457823,0.0236051502145922,0.0513626834381551,2013-03-01
Independent,0.0,0.0,0.0,2013-03-01
Republican,0.03791087832585969,0.0283171521035598,0.0504266873545384,2013-03-01
Democrat,0.042964344638151776,0.0315682281059063,0.0548076923076923,2013-04-01
Republican,0.03555054482036538,0.0272596843615494,0.0460431654676259,2013-04-01
Democrat,0.03187926692264939,0.0221997981836528,0.0411099691675231,2013-05-01
Republican,0.0564708332785192,0.0468842729970326,0.0673255095738109,2013-05-01
Democrat,0.043575914843803,0.0310204081632653,0.0536170212765957,2013-06-01
Republican,0.050245821578152085,0.040478905359179,0.0597014925373134,2013-06-01
Democrat,0.04522881114643515,0.0354785478547854,0.0555555555555555,2013-07-01
Republican,0.052013874144729924,0.041816009557945,0.0612369871402327,2013-07-01
Democrat,0.04320545059112384,0.0319792566983578,0.053182214472537,2013-08-01
Republican,0.06469445632380302,0.0510006455777921,0.0753865979381443,2013-08-01
Democrat,0.04418223300003155,0.033065236818588,0.0565371024734982,2013-09-01
Republican,0.0542607416839388,0.0425531914893617,0.0674455655868295,2013-09-01
Democrat,0.038315292287043695,0.0280857354028085,0.0494208494208494,2013-10-01
Republican,0.05055569545422096,0.0388793596340766,0.0622119815668202,2013-10-01
Democrat,0.045621595642199364,0.0340425531914893,0.0577427821522309,2013-11-01
Republican,0.05847433318639776,0.0488599348534201,0.0686600221483942,2013-11-01
Democrat,0.03918410713960656,0.0256410256410256,0.0548961424332344,2013-12-01
Republican,0.046487729488577934,0.0354358610914245,0.0582047685834502,2013-12-01
Democrat,0.029699489981037306,0.0206278026905829,0.0382222222222222,2014-01-01
Republican,0.04390263724231602,0.036527514231499,0.0520732883317261,2014-01-01
Democrat,0.03417574638237161,0.0236742424242424,0.0442978322337417,2014-02-01
Republican,0.04511690348857272,0.037320143884892,0.055011655011655,2014-02-01
Democrat,0.03655539355445162,0.0279878971255673,0.0482093663911845,2014-03-01
Republican,0.04127759142938204,0.034324942791762,0.0481022172115745,2014-03-01
Democrat,0.036823881648553325,0.0264808362369338,0.0457217504898758,2014-04-01
Republican,0.04813139592038927,0.0393643914770675,0.0577604535790219,2014-04-01
Democrat,0.05219763733522697,0.0425029515938606,0.0656682027649769,2014-05-01
