party,date,tweet_count
Democrat,2011-09-04,10
Republican,2011-09-04,7
Democrat,2011-09-05,9
Republican,2011-09-05,11
Democrat,2011-09-06,5
Republican,2011-09-06,38
Democrat,2011-09-07,29
Republican,2011-09-07,32
Democrat,2011-09-08,46
Republican,2011-09-08,70
Democrat,2011-09-09,26
Republican,2011-09-09,60
Democrat,2011-09-10,5
Republican,2011-09-10,10
Democrat,2011-09-11,17
Republican,2011-09-11,37
Democrat,2011-09-12,19
Republican,2011-09-12,36
Democrat,2011-09-13,42
Republican,2011-09-13,37
Democrat,2011-09-14,24
Republican,2011-09-14,43
Democrat,2011-09-15,23
Republican,2011-09-15,39
Democrat,2011-09-16,19
Republican,2011-09-16,45
Democrat,2011-09-17,11
Republican,2011-09-17,21
Democrat,2011-09-18,10
Republican,2011-09-18,6
Democrat,2011-09-19,48
Republican,2011-09-19,37
Democrat,2011-09-20,42
Republican,2011-09-20,40
Democrat,2011-09-21,40
Republican,2011-09-21,40
Democrat,2011-09-22,48
Republican,2011-09-22,42
Democrat,2011-09-23,13
Republican,2011-09-23,37
Democrat,2011-09-24,3
Republican,2011-09-24,18
Democrat,2011-09-25,3
Republican,2011-09-25,8
Democrat,2011-09-26,24
Republican,2011-09-26,46
Democrat,2011-09-27,51
Republican,2011-09-27,41
Democrat,2011-09-28,87
Republican,2011-09-28,33
Democrat,2011-09-29,44
Republican,2011-09-29,29
Democrat,2011-09-30,49
Republican,2011-09-30,44
Democrat,2011-10-01,10
Republican,2011-10-01,21
Democrat,2011-10-02,5
Republican,2011-10-02,9
Democrat,2011-10-03,55
Republican,2011-10-03,25
Democrat,2011-10-04,59
Republican,2011-10-04,43
Democrat,2011-10-05,60
Republican,2011-10-05,49
Democrat,2011-10-06,66
Republican,2011-10-06,55
Democrat,2011-10-07,35
Republican,2011-10-07,47
Democrat,2011-10-08,11
Republican,2011-10-08,25
Democrat,2011-10-09,8
Republican,2011-10-09,11
Democrat,2011-10-10,14
Republican,2011-10-10,25
Democrat,2011-10-11,52
Republican,2011-10-11,49
Democrat,2011-10-12,46
Republican,2011-10-12,60
Democrat,2011-10-13,62
Republican,2011-10-13,43
Democrat,2011-10-14,79
Republican,2011-10-14,35
Democrat,2011-10-15,23
Republican,2011-10-15,44
Democrat,2011-10-16,15
Republican,2011-10-16,11
Democrat,2011-10-17,41
Republican,2011-10-17,31
Democrat,2011-10-18,47
Republican,2011-10-18,36
Democrat,2011-10-19,48
Republican,2011-10-19,37
Democrat,2011-10-20,31
Republican,2011-10-20,38
Democrat,2011-10-21,37
Republican,2011-10-21,45
Democrat,2011-10-22,8
Republican,2011-10-22,21
Democrat,2011-10-23,11
Republican,2011-10-23,15
Democrat,2011-10-24,37
Republican,2011-10-24,53
Democrat,2011-10-25,43
Republican,2011-10-25,40
Democrat,2011-10-26,75
Republican,2011-10-26,45
Democrat,2011-10-27,25
Republican,2011-10-27,35
Democrat,2011-10-28,20
Republican,2011-10-28,39
Democrat,2011-10-29,9
Republican,2011-10-29,14
Democrat,2011-10-30,5
Republican,2011-10-30,3
Democrat,2011-10-31,22
Republican,2011-10-31,34
Democrat,2011-11-01,39
Republican,2011-11-01,43
Democrat,2011-11-02,35
Republican,2011-11-02,33
Democrat,2011-11-03,45
Republican,2011-11-03,45
Democrat,2011-11-04,35
Republican,2011-11-04,43
Democrat,2011-11-05,7
Republican,2011-11-05,13
Democrat,2011-11-06,6
Republican,2011-11-06,9
Democrat,2011-11-07,18
Republican,2011-11-07,42
Democrat,2011-11-08,34
Republican,2011-11-08,55
Democrat,2011-11-09,31
Republican,2011-11-09,46
Democrat,2011-11-10,33
Republican,2011-11-10,57
Democrat,2011-11-11,47
Republican,2011-11-11,69
Democrat,2011-11-12,18
Republican,2011-11-12,34
Democrat,2011-11-13,8
Republican,2011-11-13,9
Democrat,2011-11-14,23
Republican,2011-11-14,47
Democrat,2011-11-15,34
Republican,2011-11-15,45
Democrat,2011-11-16,45
Republican,2011-11-16,56
Democrat,2011-11-17,34
Republican,2011-11-17,44
Democrat,2011-11-18,20
Republican,2011-11-18,41
Democrat,2011-11-19,12
Republican,2011-11-19,9
Democrat,2011-11-20,3
Republican,2011-11-20,7
Democrat,2011-11-21,23
Republican,2011-11-21,54
Democrat,2011-11-22,13
Republican,2011-11-22,37
Democrat,2011-11-23,21
Republican,2011-11-23,25
Democrat,2011-11-24,22
Republican,2011-11-24,25
Democrat,2011-11-25,8
Republican,2011-11-25,6
Democrat,2011-11-26,4
Republican,2011-11-26,5
Democrat,2011-11-27,1
Republican,2011-11-27,3
Democrat,2011-11-28,23
Republican,2011-11-28,45
Democrat,2011-11-29,25
Republican,2011-11-29,40
Democrat,2011-11-30,28
Republican,2011-11-30,34
Democrat,2011-12-01,33
Republican,2011-12-01,26
Democrat,2011-12-02,31
Republican,2011-12-02,40
Democrat,2011-12-03,11
Republican,2011-12-03,11
Democrat,2011-12-04,5
Republican,2011-12-04,12
Democrat,2011-12-05,12
Republican,2011-12-05,24
Democrat,2011-12-06,20
Republican,2011-12-06,32
Democrat,2011-12-07,40
Republican,2011-12-07,68
Democrat,2011-12-08,30
Republican,2011-12-08,64
Democrat,2011-12-09,28
Republican,2011-12-09,56
Democrat,2011-12-10,11
Republican,2011-12-10,29
Democrat,2011-12-11,6
Republican,2011-12-11,12
Democrat,2011-12-12,29
Republican,2011-12-12,26
Democrat,2011-12-13,36
Republican,2011-12-13,49
Democrat,2011-12-14,27
Republican,2011-12-14,44
Democrat,2011-12-15,37
Republican,2011-12-15,47
Democrat,2011-12-16,37
Republican,2011-12-16,52
Democrat,2011-12-17,15
Republican,2011-12-17,12
Democrat,2011-12-18,6
Republican,2011-12-18,9
Democrat,2011-12-19,13
Republican,2011-12-19,45
Democrat,2011-12-20,43
Republican,2011-12-20,43
Democrat,2011-12-21,28
Republican,2011-12-21,29
Democrat,2011-12-22,30
Republican,2011-12-22,24
Democrat,2011-12-23,17
Republican,2011-12-23,19
Democrat,2011-12-24,9
Republican,2011-12-24,17
Democrat,2011-12-25,4
Republican,2011-12-25,13
Democrat,2011-12-26,2
Republican,2011-12-26,10
Democrat,2011-12-27,7
Republican,2011-12-27,14
Democrat,2011-12-28,14
Republican,2011-12-28,16
Democrat,2011-12-29,8
Republican,2011-12-29,18
Democrat,2011-12-30,19
Republican,2011-12-30,18
Democrat,2011-12-31,12
Republican,2011-12-31,13
Democrat,2012-01-01,5
Republican,2012-01-01,14
Democrat,2012-01-02,6
Republican,2012-01-02,11
Democrat,2012-01-03,5
Republican,2012-01-03,30
Democrat,2012-01-04,35
Republican,2012-01-04,56
Democrat,2012-01-05,22
Republican,2012-01-05,48
Democrat,2012-01-06,40
Republican,2012-01-06,31
Democrat,2012-01-07,6
Republican,2012-01-07,7
Democrat,2012-01-08,6
Republican,2012-01-08,11
Democrat,2012-01-09,36
Republican,2012-01-09,45
Democrat,2012-01-10,38
Republican,2012-01-10,52
Democrat,2012-01-11,42
Republican,2012-01-11,49
Democrat,2012-01-12,43
Republican,2012-01-12,61
Democrat,2012-01-13,39
Republican,2012-01-13,52
Democrat,2012-01-14,19
Republican,2012-01-14,21
Democrat,2012-01-15,16
Republican,2012-01-15,14
Democrat,2012-01-16,46
Republican,2012-01-16,30
Democrat,2012-01-17,40
Republican,2012-01-17,56
Democrat,2012-01-18,94
Republican,2012-01-18,66
Democrat,2012-01-19,54
Republican,2012-01-19,63
Democrat,2012-01-20,69
Republican,2012-01-20,75
Democrat,2012-01-21,17
Republican,2012-01-21,19
Democrat,2012-01-22,27
Republican,2012-01-22,15
Democrat,2012-01-23,41
Republican,2012-01-23,50
Democrat,2012-01-24,55
Republican,2012-01-24,82
Democrat,2012-01-25,123
Republican,2012-01-25,132
Democrat,2012-01-26,72
Republican,2012-01-26,50
Democrat,2012-01-27,53
Republican,2012-01-27,48
Democrat,2012-01-28,17
Republican,2012-01-28,18
Democrat,2012-01-29,12
Republican,2012-01-29,10
Democrat,2012-01-30,46
Republican,2012-01-30,54
Democrat,2012-01-31,56
Republican,2012-01-31,72
Democrat,2012-02-01,57
Republican,2012-02-01,77
Democrat,2012-02-02,97
Republican,2012-02-02,73
Democrat,2012-02-03,63
Republican,2012-02-03,77
Democrat,2012-02-04,23
Republican,2012-02-04,18
Democrat,2012-02-05,26
Republican,2012-02-05,13
Democrat,2012-02-06,39
Republican,2012-02-06,63
Democrat,2012-02-07,69
Republican,2012-02-07,72
Democrat,2012-02-08,46
Republican,2012-02-08,104
Democrat,2012-02-09,83
Republican,2012-02-09,64
Democrat,2012-02-10,48
Republican,2012-02-10,54
Democrat,2012-02-11,15
Republican,2012-02-11,23
Democrat,2012-02-12,20
Republican,2012-02-12,20
Democrat,2012-02-13,44
Republican,2012-02-13,54
Democrat,2012-02-14,45
Republican,2012-02-14,74
Democrat,2012-02-15,56
Republican,2012-02-15,75
Democrat,2012-02-16,64
Republican,2012-02-16,71
Democrat,2012-02-17,57
Republican,2012-02-17,85
Democrat,2012-02-18,14
Republican,2012-02-18,40
Democrat,2012-02-19,10
Republican,2012-02-19,14
Democrat,2012-02-20,33
Republican,2012-02-20,35
Democrat,2012-02-21,53
Republican,2012-02-21,51
Democrat,2012-02-22,42
Republican,2012-02-22,64
Democrat,2012-02-23,67
Republican,2012-02-23,69
Democrat,2012-02-24,45
Republican,2012-02-24,67
Democrat,2012-02-25,26
Republican,2012-02-25,32
Democrat,2012-02-26,8
Republican,2012-02-26,32
Democrat,2012-02-27,29
Republican,2012-02-27,51
Democrat,2012-02-28,42
Republican,2012-02-28,60
Democrat,2012-02-29,52
Republican,2012-02-29,83
Democrat,2012-03-01,77
Republican,2012-03-01,81
Democrat,2012-03-02,54
Republican,2012-03-02,58
Democrat,2012-03-03,31
Republican,2012-03-03,42
Democrat,2012-03-04,19
Republican,2012-03-04,72
Democrat,2012-03-05,84
Republican,2012-03-05,56
Democrat,2012-03-06,83
Republican,2012-03-06,80
Democrat,2012-03-07,78
Republican,2012-03-07,76
Democrat,2012-03-08,69
Republican,2012-03-08,88
Democrat,2012-03-09,55
Republican,2012-03-09,62
Democrat,2012-03-10,22
Republican,2012-03-10,29
Democrat,2012-03-11,21
Republican,2012-03-11,22
Democrat,2012-03-12,41
Republican,2012-03-12,59
Democrat,2012-03-13,75
Republican,2012-03-13,70
Democrat,2012-03-14,52
Republican,2012-03-14,59
Democrat,2012-03-15,67
Republican,2012-03-15,60
Democrat,2012-03-16,52
Republican,2012-03-16,50
Democrat,2012-03-17,34
Republican,2012-03-17,31
Democrat,2012-03-18,31
Republican,2012-03-18,24
Democrat,2012-03-19,61
Republican,2012-03-19,69
Democrat,2012-03-20,94
Republican,2012-03-20,66
Democrat,2012-03-21,99
Republican,2012-03-21,69
Democrat,2012-03-22,64
Republican,2012-03-22,72
Democrat,2012-03-23,65
Republican,2012-03-23,89
Democrat,2012-03-24,27
Republican,2012-03-24,27
Democrat,2012-03-25,17
Republican,2012-03-25,20
Democrat,2012-03-26,62
Republican,2012-03-26,48
Democrat,2012-03-27,73
Republican,2012-03-27,70
Democrat,2012-03-28,55
Republican,2012-03-28,57
Democrat,2012-03-29,72
Republican,2012-03-29,74
Democrat,2012-03-30,60
Republican,2012-03-30,67
Democrat,2012-03-31,29
Republican,2012-03-31,17
Democrat,2012-04-01,18
Republican,2012-04-01,21
Democrat,2012-04-02,47
Republican,2012-04-02,55
Democrat,2012-04-03,78
Republican,2012-04-03,50
Democrat,2012-04-04,50
Republican,2012-04-04,53
Democrat,2012-04-05,36
Republican,2012-04-05,56
Democrat,2012-04-06,41
Republican,2012-04-06,37
Democrat,2012-04-07,7
Republican,2012-04-07,14
Democrat,2012-04-08,12
Republican,2012-04-08,20
Democrat,2012-04-09,42
Republican,2012-04-09,50
Democrat,2012-04-10,45
Republican,2012-04-10,67
Democrat,2012-04-11,50
Republican,2012-04-11,70
Democrat,2012-04-12,40
Republican,2012-04-12,65
Democrat,2012-04-13,49
Republican,2012-04-13,60
Democrat,2012-04-14,27
Republican,2012-04-14,27
